Data/Hora, Temp Avg, Press Avg, Hum Avg
2020-09-22 13:58:00, 28.67, 897.42, 40.86
2020-09-22 13:58:10, 28.67, 897.42, 40.61
2020-09-22 13:58:20, 28.65, 897.42, 40.69
2020-09-22 13:58:30, 28.59, 897.41, 40.73
